rootX,rootY,rootZ
0,0.13675,0.0591226
0,0.073424,0.0583364
0,0.0286508,0.0760681
0,0.00789881,0.0830743
0,0.000898839,0.0633206
0,-0.00032425,0.0270725
0,0,-0.00300183
0,0,-0.00943024
0,0,0.0116611
0,0,0.0393663
0,0,0.0528875
0,0,0.0527453
0,0,0.0460533
0,0,0.0468611
0,0,0.0523811
0,0.00134975,0.0436565
0,-0.00544787,0.0108605
0,-0.028776,-0.0355585
0,-0.073627,-0.0788726
0,-0.138298,-0.107748
0.00135905,-0.18055,-0.117143
-0.0055104,-0.157224,-0.0994764
-0.0288747,-0.0633234,-0.061103
-0.0735195,0.0646732,-0.00994758
-0.136863,0.152124,0.0556045
-0.186261,0.149325,0.13005
-0.186262,0.062224,0.200346
-0.136863,-0.0629742,0.238331
-0.0721601,-0.157548,0.222948
-0.0340457,-0.1783,0.157473
-0.0367578,-0.135851,0.0657071
-0.0745331,-0.0737748,-0.0194729
-0.136524,-0.0284481,-0.0684561
-0.186262,-0.00790239,-0.0711301
-0.187621,-0.00110149,-0.0376338
-0.131353,0.000350476,0.00873101
-0.0446443,0,0.038656
0.044983,0,0.0435162
0.128982,-0.00135005,0.0321621
0.183889,0.0068003,0.0165048
